Sigla,Nome Completo,Tipo de serviço,Estado Operacional,Dados em Tempo Real (Operacional),Dados abertos,Comentário disponibilidade de dados,API,Comentário API ,Tipo de Interface,Tipo de Acesso,Descrição da Base de Dados,Tipo de Dados Oceanográficos,Exemplos de dados disponíveis,Instituição responsável pela base de dados,Cobertura Dados,Detalhe cobertura ,País,Link,Observações,Protocolos de Interoperabilidade,Contato responsável pelos dados,Tipo de licença de uso
BNDO ,Banco Nacional de Dados Oceanográficos,Agregador,Ativo,Nao,Não,Dados disponiveis mediante requerimento por email,Não,,Repositório,Outros,"Centro depositário nacional gerido pela Diretoria de Hidrografia e Navegação da Marinha do Brasil, para recepção, arquivamento, controle, disseminação de dados oceanográficos nacionais e internacionais.","Física, Biológica","Vento, Pressão barométrica, Temperatura do ar, Tipo de nuvens, Quantidade de nuvens, Ondas, Cor da água, Transparência da água, Visibilidade, Deriva do navio, Tipo de registro, Hora da observação, Número de lançamento, Número de observação, Profundidade, Temperatura, Salinidade, Sigma-t, Velocidade do som, Oxigênio dissolvido, Fosfatos, Fósforo total, Nitritos, Nitratos, Amônia, Silicatos, pH, Alcalinidade",CHM,Nacional,,Brasil,https://www.marinha.mil.br/chm/intercambio-de-dados-marinhos/banco-nacional-de-dados-oceanogr%C3%A1ficos,,,,
BODC,British Oceanographic Data Centre,Agregador e Provedor,Ativo,Sim,Sim,,Sim,,"Repositório, Portal de Dados","Portal Web, API, Visualização iterativa, OPeNDAP, WFS, WMS","Como Centro Nacional de Dados Oceanográficos do Reino Unido (NODC) e centro de dados marinhos do Environmental Data Service (EDS) do Natural Environment Research Council (NERC), os dados do BODC ajudam a responder tanto a questões locais, como a probabilidade de inundações costeiras, quanto a questões globais, como os impactos das mudanças climáticas.","Física, Geológica, Química, Biológica","Acústica, Batimetria e Batimetria, Correntes, transporte, pigmentos, turbidez, irradiância, Nível do mar, Temperatura, Salinidade, nutrientes, carbono, oxigênio, Ondas",NOC,Global,,UK,https://www.bodc.ac.uk/,,,,
CDI,Common Data Index,Agregador e Provedor,Ativo,Nao,Sim,,Não,,"Repositório, Portal de Dados","Portal Web, SOAP, Outros, Visualização iterativa",O serviço Common Data Index (CDI) oferece aos usuários uma visão detalhada sobre a disponibilidade e a distribuição geográfica de conjuntos de dados marinhos gerenciados por centros de dados conectados à infraestrutura Geo-Seas.,"Geológica, Física, Química, Biológica","Pressão atmosférica, Temperatura do ar, Alcalinidade, acidez e pH da coluna de água, amônio, amônia, Umidade atmosférica, Batimetria, Concentrações de carbono em sedimentos, Química de carbonatos no sedimento, Concentrações de clorofluorcarbono, Concentrações de pigmentos de clorofila em sedimentos, Concentrações de pigmentos de clorofila, Concentração de hidrocarbonetos alifáticos no sedimento, Concentração de carboidratos, fenóis, álcoois, éteres, aldeídos e cetonas em sedimentos",GeoSeas,Global,,União Européia,https://www.geo-seas.eu/search,https://www.geo-seas.eu/content/content.asp?menu=0030011_000000,,,CC-BY-4.0
CEADO,Centro Argentino de Datos Oceanográficos,Agregador e Provedor,Ativo,Parciamente,Parcialmente,Dados podem necessitar de registros e aceitacao de termos (diferentes licensas de uso para diferentes grupos),Não,,"Repositório, Portal de Dados","Portal Web, Visualização iterativa","Este serviço é fornecido pelo Centro Argentino de Dados Oceanográficos (CEADO), que mantém bases de dados e arquivos de informações em apoio às operações navais, bem como às atividades de pesquisa e desenvolvimento em ciências do mar.","Física, Química","Vento, Estado do tempo, Pressão barométrica, Temperatura do ar, Nuvens, Ondas, Transparência da água, Visibilidade, Deriva do navio, Tipo de registro, Hora da observação, Temperatura, Salinidade, Sigma-t, Velocidade do som, Oxigênio, Fosfatos, Fósforo total, Nitritos, Nitratos, Amônia, Silicatos, pH, Alcalinidade",NHS,AtlanticoSul,,Argentina,https://www.hidro.gov.ar/ceado/ceado.asp,,,,
CEMADEN,Centro Nacional de Monitoramento e Alertas de Desastres Naturais,Agregador e Provedor,Ativo,Sim,Sim,,Sim,,"Repositório, Portal de Dados","Portal Web, API, Visualização iterativa","Criado em 2011, o Centro Nacional de Monitoramento e Alertas de Desastres Naturais (Cemaden) é um núcleo responsável pela prevenção e gerenciamento da atuação governamental perante eventuais desastres naturais ocorridos em território brasileiro. O Cemaden esta vinculado ao Ministério da Ciência, Tecnologia e Inovação (MCTI).",Geológica,"Dados pluviométricos, hidrológicos",MCTI,Nacional,,Brasil,https://mapainterativo.cemaden.gov.br/#,,,,
CENSIPAM,Centro Gestor e Operacional do Sistema de Proteção Ambiental da Amazônia ,Agregador e Provedor,Ativo,Parciamente,Sim,,Sim,"Acesso API disponível, mediante cadastro e avaliação pelo órgão responsável. Entre os dados, pode-se consultar previsão do tempo e estações meteorológicas de superfície, com informações como Temperatura, umidade, pressão e vento","Repositório, Portal de Dados, Catálogo, Analítico, Ferramenta, Modelos","Portal Web, API, WMS, WFS, Visualização iterativa","Plataforma Panorama é o nome da infraestrutura de dados espaciais mantida pelo CENSIPAM para a integração de dados, informações e produtos geoespaciais gerados nos seus diversos projetos.","Geológica, Física, Química","Meteo-Oceanográfico, Painel do Fogo, Previsões, Multi-temáticos",MD,Nacional,,Brasil,https://panorama.sipam.gov.br/api/meteorologia/v1,,,,
CMIP Data Aplication,Coupled Model Intercomparison Project,Agregador e Provedor,Ativo,Nao,Parcialmente,Dados podem necessitar de registros e aceitacao de termos (diferentes licensas de uso para diferentes grupos),Sim,API RESTful disponível via ESGF para busca programática e integração com scripts,"Repositório, Portal de Dados","Portal Web, Outros, API","CMIP – O Coupled Model Intercomparison Project (CMIP) é um projeto do World Climate Research Programme (WCRP) que fornece projeções climáticas globais para entender mudanças climáticas passadas, presentes e futuras. Os dados do CMIP são essenciais para relatórios do IPCC e outras avaliações climáticas nacionais e internacionais, abrangendo variáveis atmosféricas, oceânicas e terrestres.","Física, Química, Biológica","Temperatura, Salinidade, Correntes, variáveis atmosféricas",WCRP,Global,,Internacional,https://aims2.llnl.gov/search,,,,Diferentes licensas dependendo do grupo
CNUC,Cadastro Nacional de Unidades de Conservação,Provedor,Ativo,Sim,Sim,,Não,,"Repositório, Portal de Dados","Portal Web, Visualização iterativa","O Cadastro Nacional de Unidades de Conservação - CNUC é a plataforma oficial de dados das Unidades de Conservação que fazem parte do Sistema Nacional de Unidades de Conservação da Natureza – SNUC, geridas pelos três níveis de governo e por particulares.",Biológica,Unidades de Conservação,ICMBio ,Nacional,,Brasil,https://cnuc.mma.gov.br/,,,,
Copernicus ,Copernicus Marine Service,Agregador e Provedor,Ativo,Sim,Sim,,Sim,,"Repositório, Portal de Dados","Portal Web, API, Visualização iterativa, OPeNDAP, WMS, WFS, ERDDAP","O Copernicus é o componente de observação da Terra do programa espacial da União Européia, dedicado a monitorar o planeta e seu ambiente em benefício dos cidadãos europeus. Ele oferece serviços de informação baseados em dados de satélites e medições em terra, ar e mar. Gerido pela Comissão Europeia e implementado em parceria com Estados-Membros, ESA, EUMETSAT, ECMWF, agências da UE e outras instituições, o programa disponibiliza gratuitamente dados abertos que apoiam autoridades, cientistas e organizações na melhoria da qualidade de vida e na gestão ambiental.","Física, Geológica, Química, Biológica","Temperatura, Salinidade, Correntes, nível do mar, Ondas, Gelo marinho, Clorofila, Oxigênio, Nutrientes, Carbono inorgânico dissolvido, alcalinidade e pH, Matéria orgânica dissolvida e particulada, Produtividade primária, Acidificação oceânica, Reflectância, turbidez e cor do oceano, Matéria em suspensão, Fluxos de calor,  Fluxos de CO₂, Vento",Copernicus,Global,,Europa,https://marine.copernicus.eu,,,,
Coriolis ,Coriolis,Agregador,Ativo,Sim,Sim,,Sim,,"Repositório, Portal de Dados","Portal Web, API, Visualização iterativa, THREDDS, OPeNDAP, WFS, WMS","O Coriolis é parte do programa francês de oceanografia operacional, responsável por coordenar e manter observações in situ do oceano. Criado em 2001, reúne instituições como CNES, CNRS, Ifremer, IRD, IPEV, Météo-France e Shom para coletar dados em tempo real e modo diferido, operar um centro nacional de dados e desenvolver tecnologias de monitoramento contínuo. Os dados obtidos permitem mapear propriedades da água, como Temperatura e circulação oceânica, apoiando previsões climáticas, meteorológicas e serviços marinhos.",Física,"Temperatura, Salinidade, Oxigênio, Clorofila ","CNES, CNRS, Ifremer, IRD, IPEV, Météo-France, Shom",Global,,Europa,https://www.coriolis.eu.org/Data-Products/Data-selection,,,,
Data.Europa,Base de Dados da Uniao Europeia,Agregador,Ativo,Nao,Sim,,Sim,,"Repositório, Portal de Dados, Catálogo","Portal Web, API","O portal é um ponto central de acesso a dados abertos europeus provenientes de portais internacionais, da União Européia, nacionais, regionais, locais e geoespaciais. Ele consolida o antigo Portal de Dados Abertos da UE e o Portal Europeu de Dados. O portal tem como objetivos: fornecer acesso e incentivar a reutilização de dados abertos europeus por cidadãos, empresas e organizações; promover e apoiar a disponibilização de metadados e dados de melhor qualidade pelas instituições, agências e outros órgãos da UE, bem como pelos países europeus, aumentando a transparência das administrações europeias; e educar cidadãos e organizações sobre as oportunidades que surgem com a disponibilidade de dados abertos.","Física, Geológica, Química, Biológica",Multi-temáticos,EU,Global,,União Européia,https://data.europa.eu/en,,DCAT-AP,,CC-BY-4.0
DCDB,IHO Data Centre for Digital Bathymetry,Agregador e Provedor,Ativo,Nao,Sim,,Não,,"Repositório, Portal de Dados","Portal Web, Visualização iterativa, WMS, WFS","O Centro de Dados para Batimetria Digital (DCDB) da International Hydrographic Organization (IHO) foi criado em 1990 para gerir a coleta global de dados batimétricos. O centro arquiva e compartilha livremente dados de profundidade, fornecidos por marinheiros e outros atores, seguindo as diretrizes da IHO. O IHO DCDB é hospedado pela NOAA dos EUA em nome dos Estados Membros da IHO.",Geológica,Batimetria,IHO,Global,,Internacional,https://www.ncei.noaa.gov/maps/iho_dcdb/,,,,
Dryad,Dryad,Agregador,Ativo,Nao,Sim,,Não,,"Repositório, Portal de Dados","Portal Web, Visualização iterativa",O Dryad é uma plataforma de publicação de dados abertos e uma comunidade dedicada à disponibilização aberta e ao reuso sistemático de todos os dados de pesquisa.,"Física, Geológica, Química, Biológica",Multi-temáticos,Dryad,Global,,Internacional,https://datadryad.org/,,,,
EBSA,Ecologically or Biologically Significant Marine Areas,Agregador,Ativo,Nao,Sim,,Não,,"Ferramenta, Analítico","Portal Web, Visualização iterativa","O site do EBSA está dividido em duas seções: (i) o repositório EBSA e (ii) o mecanismo de compartilhamento de informações do EBSA. Conforme decidido pela Conferência das Partes (COP) da CDB na decisão 16/16, cada seção tem propósitos distintos e contém tipos diferentes de informações. O repositório EBSA inclui: descrições de áreas que atendem aos critérios EBSA, consideradas pela COP e solicitadas para inclusão pelo Secretário Executivo, e um arquivo de versões anteriores de descrições EBSA modificadas.",Biológica,Áreas Marinhas Ecologicamente ou Biologicamente Significativas,CBD,Global,,Internacional,EBSA - Ecologically or Biologically Significant Marine Areas | nuxt-app,,,,
EMODNet Data,European Marine Observation and Data Network,Agregador e Provedor,Ativo,Parciamente,Parcialmente,Dados podem necessitar de registros e aceitacao de termos (diferentes licensas de uso para diferentes grupos),Sim,,"Portal de Dados, Repositório","Portal Web, API, WFS, WMS, Visualização iterativa, OGC","EMODnet integra dados marinhos de múltiplas fontes europeias, processando e padronizando informações para uso científico, industrial e governamental. Oferece camadas interoperáveis e visualizações de dados oceanográficos, geológicos, químicos, biológicos e de atividades humanas.","Geológica, Física, Química, Biológica, Social",Multi-temáticos,EU,Global,,União Européia,https://emodnet.ec.europa.eu/en,,,helpdesk@emodnet.ec.europa.eu,"Uso aberto, verificar licensas"
ESTATPESCA,Estatistica da Produção Pesqueira,Agregador,Extinto,Nao,Parcialmente,,Não,,"Repositório, Portal de Dados",Portal Web,Estatísticas da produção pesqueira marinha.,Biológica,Estatísticas da Pesca,IBAMA,Nacional,,Brasil,"Link para relatorios, precisa achar link de dados: https://www.gov.br/ibama/pt-br/assuntos/biodiversidade/biodiversidade-aquatica/gestao-da-biodiversidade-aquatica/estatistica-pesqueira",,,,
FAO Global Record,"Global Record of Fishing Vessels, Refrigerated Transport Vessels and Supply Vessels",Agregador,Ativo,Nao,Parcialmente,Dados podem necessitar de registros e aceitacao de termos (diferentes licensas de uso para diferentes grupos),Indefinido,Tem mencao de API mas nao achei detalhes,"Repositório, Portal de Dados",Portal Web,"O Global Record é uma iniciativa global que disponibiliza dados certificados sobre embarcações de pesca e atividades relacionadas, com o objetivo de combater a pesca ilegal (IUU) e aumentar a transparência e rastreabilidade. A longo prazo, busca fortalecer a gestão pesqueira, a sustentabilidade do setor e a segurança alimentar de comunidades dependentes da pesca.",Biológica,Dados de embarcações de pesca e atividades relacionadas,FAO,Global,,Internacional,https://www.fao.org/global-record/information-system/en/,,,,
"FAO: Atlas of Tuna and Billfish Catches, Global Tuna Catches by Stock","FAO: Atlas of Tuna and Billfish Catches , Global Tuna Catches by Stock",Agregador,Ativo,Nao,Parcialmente,,Não,,"Repositório, Portal de Dados","Portal Web, Visualização iterativa","O Atlas, elaborado por Fabio Carocci e Jacek Majkowski (FAO), compila dados de captura de atuns e agulhões fornecidos por organizações internacionais de manejo pesqueiro (AFMA, CCSBT, IOTC, ICCAT, IATTC, SPC e WCPFC), com resolução geográfica de 5° x 5° ou superior, fruto de colaboração entre diversas instituições e cientistas",Biológica,Estatísticas de captura de atuns e espécies semelhantes a atuns,FAO,Global,,Internacional,"http://www.fao.org/fishery/topic/16054/en
 https://www.fao.org/fishery/en/collection/tuna_nomcatch
 https://www.fao.org/fishery/en/knowledgebase/102",,,,
Fishbase,Fishbase,Agregador,Ativo,Nao,Sim,,Em desenvolvimento,,Catálogo,"Portal Web, API, Visualização iterativa","O FishBase é um sistema global de informações sobre peixes ósseos. Inicialmente voltado a fornecer dados sobre dinâmica populacional de 200 espécies comerciais principais, o FishBase hoje reúne informações sobre todas as espécies conhecidas no mundo, incluindo taxonomia, biologia, ecologia trófica, história de vida, usos e dados históricos de até 250 anos.",Biológica,Dados biológicos de espécies de peixes,Q-quatics,Global,,Internacional,FishBase - A Global Information System on Fishes,,,,
FishMIP,Fisheries and Marine Ecosystem Model Intercomparison Project,Agregador,Ativo,Nao,Sim,,Não,,"Repositório, Modelos, Analítico","Portal Web, Visualização iterativa","O FishMIP é uma rede global de mais de 100 modeladores de ecossistemas marinhos e pesquisadores. Seu objetivo é integrar diferentes modelos de ecossistemas marinhos para compreender e projetar os impactos de longo prazo das mudanças climáticas sobre a pesca e os ecossistemas marinhos, usando os resultados para subsidiar políticas públicas.",Biológica,"Peixes e Pesca, Suprimento de Frutos do Mar, Biodiversidade Marinha, Funcionamento do Ecossistema Marinho",FishMIP,Global,,Internacional,Home | FishMIP,,,,
GBIF-Brasil,lobal Biodiversity Information Facility Brazilian Node,Agregador,Ativo,Nao,Sim,,Sim,,"Repositório, Portal de Dados","Portal Web, API, Visualização iterativa, WFS",Rede internacional que fornece acesso aberto a informações sobre todos os tipos de vida na Terra.,Biológica,Biodiversidade,GBIF,Global,,Brasil,https://www.gbif.org/country/BR/summary,,,,
GEBCO,General Bathymetric Chart of the Oceans,Agregador,Ativo,Nao,Sim,,Sim,,"Repositório, Portal de Dados","Portal Web, Visualização iterativa, WFS, WMS","O GEBCO produz e disponibiliza diversos conjuntos de dados e produtos batimétricos, incluindo uma grade batimétrica global, um gazetteer de nomes de feições submarinas, um serviço de mapas web (WMS) e mapas impressos da batimetria oceânica.",Geológica,Batimetria,"IOC UNESCO, WMO",Global,,Internacional,https://betadownload.gebco.net/,,,,
GeoSB,Geoportal do Servico Geologico Brasileiro,Agregador e Provedor,Ativo,Nao,Sim,,Não,"Área de downloads de forma manual, com interface similar a um FTP","Repositório, Portal de Dados","Portal Web, Outros","O GeoSGB (antigo Geobank) do Serviço Geológico do Brasil disponibiliza bases geocientíficas, geológicas, geofísicas e geoespaciais para o Brasil, com downloads em vários formatos e visualização de mapas interativos. ",Geológica,"Mapas geológicos, dados aerogeofísicos, shapefiles de unidades litológicas",SGB,Nacional,,Brasil,https://geosgb.sgb.gov.br/home.html,,,,
GEOTRACES,An International Study of the Marine Biogeochemical Cycles of Trace Elements and Their Isotopes,Agregador e Provedor,Ativo,Nao,Sim,,Indefinido,,"Repositório, Portal de Dados","Portal Web, Outros",GEOTRACES é um programa internacional para estudar os ciclos biogeoquímicos globais de elementos-traço e seus isótopos no oceano. Os dados são gerenciados pelo GDAC e disponibilizados para a comunidade científica. ,"Química, Biológica","Dados de cruzeiros oceânicos, parâmetros como Fe, Zn, Cd, δ13C etc.","GEOTRACES-GDAC, BODC",Global,,Internacional,https://www.geotraces.org/data/,,,,
GEWEX,Global Energy and Water Exchanges,Agregador,Ativo,Nao,Sim,,Não,,"Repositório, Portal de Dados","Portal Web, Visualização iterativa, OPeNDAP","O Programa GEWEX (Global Energy and Water Exchanges) é uma rede internacional de cientistas que coleta informações sobre os ciclos globais de água e energia por meio de pesquisas, observações e atividades científicas, com o objetivo de aprimorar a previsão das mudanças climáticas globais.","Física, Geológica, Química, Biológica",NA ,George Mason University,Global,,USA,https://www.gewex.org/resources/data-sets/,,,,
Global Fishing Watch,Global Fishing Watch,Agregador,Ativo,Quasi-operacional,Parcialmente,,Sim,,"Repositório, Portal de Dados","Portal Web, API, Visualização iterativa",Monitoramento global da atividade pesqueira através de dados de satélite e AIS.,Biológica,"Rastreamento de navios de pesca, rotas, intensidade de atividade",Global Fishing Watch,Global,,Internacional,https://globalfishingwatch.org,,,,
Global Reef Tracker,Global Reef Tracker,Agregador e Provedor,Ativo,Parciamente,Parcialmente,Dados podem necessitar de registros e aceitacao de termos (diferentes licensas de uso para diferentes grupos),Indefinido,,"Repositório, Portal de Dados","Portal Web, Visualização iterativa","O Global Reef Tracker permite a visualização e consulta de dados de recifes de coral monitorados globalmente pela Reef Check Foundation, integrando levantamentos de voluntários, sensores, satélite e imagens.",Biológica,"Levantamentos de saúde de recifes, séries temporais de condições, imagens de monitoramento ",Reef Check Foundation,Global,,Internacional,https://www.reefcheck.org/global-reef-tracker/,,,,
GLODAP,Global Ocean Data Analysis Project v2,Agregador e Provedor,Ativo,Nao,Sim,,Não,,"Repositório, Portal de Dados",Portal Web,"GLODAP é um produto de síntese mundial de dados biogeoquímicos (surface‑to‑bottom) de amostras de água do oceano, com mais de 1,4 milhões de amostras de 1108 cruzeiros até 2021. ","Química, Física","Salinidade, oxigênio dissolvido, nutrientes, DIC, alcalinidade, pH, traçadores CFC",GLODAP,Global,,Internacional,https://glodap.info/,,,,
GO-BGC,Global Ocean Biogeochemistry Array,Provedor,Ativo,Quasi-operacional,Parcialmente,,Não,,"Repositório, Portal de Dados","Portal Web, Visualização iterativa, OPeNDAP",Programa internacional de coleta de dados de bioquímica oceânica em tempo quase real.,"Física, Geológica, Química, Biológica","Repositório/Portal de Dados, Modelos",Consortium,Global,,Internacional,https://www.go-bgc.org,,,,
GO-SHIP,The Global Ocean Ship-based Hydrographic Investigations Program,Agregador,Ativo,Nao,NA,Catalogo,Não,,Catálogo,Portal Web,"Fornece resolução aproximadamente decadal das variações nos estoques de calor, água doce, carbono, oxigênio, nutrientes e traçadores transitórios, cobrindo as bacias oceânicas de costa a costa e em toda a coluna d’água (da superfície ao fundo), com medições globais da mais alta precisão necessárias para detectar essas mudanças. Os principais objetivos científicos do GO-SHIP são: (1) compreender e documentar as distribuições de propriedades da água em larga escala, suas variações e os fatores que as determinam; e (2) responder a questões sobre como o oceano do futuro aumentará o carbono inorgânico dissolvido, tornar-se-á mais acidificado e estratificado, e sofrerá mudanças na circulação e ventilação devido ao aquecimento global e às alterações no ciclo hidrológico.","Geológica, Física, Biológica, Química","CTD, Carbono, ADCP, Meteo-Oceanográfico,","Ifremer, FSU, UH, UCSD, NOAA",Global,,Internacional,http://www.go-ship.org/DatReq.html,"CLIVAR and Carbon Hydrographic Data Office (CCHDO)
Principal Contact:  Karen Stocks, Director
Email: kstocks@ucsd.edu
Web-site: http://cchdo.ucsd.edu/

Carbon Data
Ocean Carbon Data System (OCADS, former CDIAC)
Principal Contact: Alex Kozyr
Email: alex.kozyr@noaa.gov
Web-site: https://www.nodc.noaa.gov/ocads/

S-ADCP Data e L-ADCP Data
Hawaii Joint Archive for Shipboard ADCP e Currents group at the University of Hawaii
Principal Contact: Patrick Caldwell e Eric Firing
Email: Patrick.Caldwell@noaa.gov e efiring@hawaii.edu
Data: https://currents.soest.hawaii.edu/home/

Surface Meteorological Data
Surface Marine Meteorological Data Assembly Center, COAPS, FSU
Principal Contact: Shawn R. Smith
Email: smith@coaps.fsu.edu
Web-site: http://www.coaps.fsu.edu/RVSMDC/CLIVAR/
Data: http://www.coaps.fsu.edu/RVSMDC/html/data.shtml

Underway Data
The Global Ocean Surface Underway Data Project (GOSUD)
Principal Contact: Ludovic Drouineau
Email: ludovic.drouineau@Ifremer.fr
Web-site: http://www.gosud.org/",,,
GOA-ON,Global Ocean Acidification Observing Network,Agregador,Ativo,Nao,NA,Catalogo,Não,,Catálogo,Portal Web,"O GOA-ON Data Explorer oferece acesso e visualização de dados sobre acidificação dos oceanos e produtos de síntese de dados coletados em todo o mundo, provenientes de diversas fontes — incluindo boias fundeadas, cruzeiros de pesquisa e estações fixas de séries temporais.","Física, Química","Concentração de CO2 , alcalinidade, DIC, pH, clorofila, nitrato, Oxigênio, pressão, Salinidade, Temperatura",GOA-ON,Global,,Internacional,https://www.goa-on.org/,,,,
